Dataset Name,GPT4-MAPE,GPT4-R^2,GPT3.5-MAPE,GPT3.5-R^2,trend_strength,seas_strength
AirPassengersDataset,6.8,0.79,9.98,0.32,0.997409295,0.984544471
AusBeerDataset,3.69,0.78,5.12,0.57,0.987717269,0.961133656
MonthlyMilkDataset,5.12,0.38,6.25,-0.34,0.996473303,0.993949709
SunspotsDataset,334.3,-0.43,194.29,-1.21,0.810361724,0.275599419
WineDataset,10.9,0.49,14.98,0.11,0.672305082,0.920319441
WoolyDataset,20.41,-1.74,19.26,-1.42,0.959486026,0.822665482
IstanbulTrafficGPT,47.29,-1.96,60.11,-1.75,0.314842588,0.717737373
GasRateCO2Dataset,4.21,-0.05,5.97,-1.47,0.64601373,0.503739374
HeartRateDataset,7.9,-0.85,6.75,-0.4,0.417927681,0.488174248
TurkeyPower,3.36,0.71,3.52,0.76,0.901619187,0.875574189
